"year","start_date","mean_samp_date","n","CI_samp"
1975,152,166.225661116552,98,2.09022339408811
1976,140,177.519696250593,125,3.14726368823399
1977,155,165.529129013651,98,1.56602721318172
1978,140,155.01821192053,115,2.83774329911213
1979,145,191.889582033687,135,3.77585763393813
1980,133,145.781198003328,135,1.05983073038224
1981,142,170.550654720882,96,1.62617344204439
1982,149,161.639576821351,133,0.873044342014294
1983,158,162.131798332672,136,0.484743308356501
1984,161,165.338983050847,136,0.509427040542053
1985,159,172.731821735731,135,2.22808822159611
1986,154,160.552498189718,135,0.559249806218289
1987,147,159.047532820281,134,0.675948839760305
1988,156,162.980707395498,133,0.579537783552182
1989,157,162.184992570579,134,0.623918464780877
1990,155,160.522238163558,135,0.772833703003729
1991,158,168.482224770642,135,0.958329971762577
1992,157,162.073839662447,134,0.92177595302167
1993,155,159.847530422334,136,0.499863508050184
1994,154,158.22625,136,0.575551450450679
1995,155,158.483682008368,136,0.489551552677797
1996,160,163.675115207373,136,0.477058105550806
1997,158,161.379593810445,136,0.39878356171352
1998,160,164.993545611015,136,0.597491767365449
1999,143,146.773044692737,134,0.482223453059129
2000,144,149.478498827209,134,0.828934009214027
2001,149,154.089510489511,136,0.569307158104521
2002,153,157.605894105894,135,0.543611883040193
2003,153,159.520710059172,136,0.638263976088268
2004,157,161.898650674663,136,0.503850690273323
2005,154,157.752142612273,136,0.468388107178091
2006,153,156.476669348351,136,0.3988380954057
2007,162,165.781236853176,136,0.460122994548779
2008,156,159.818345323741,136,0.517139817906763
2009,153,156.861774744027,136,0.415519082535629
2010,158,161.093333333333,136,0.485616049152002
2011,156,158.947214076246,136,0.670796207855451
2012,156,160.195896757114,136,0.549205318574193
2013,160,163.450704225352,136,0.574796419834727
2014,159,162.731717337716,136,0.508982021118676
2015,153,156.767476085357,136,0.560704378002525
2016,152,156.206995003569,136,0.761572220784276
2017,155,161.658922914467,136,1.02037485933745
2018,154,158.69014084507,136,0.717061633680137
2019,154,160.593703148426,136,0.922595256376633
2021,151,156.871951219512,136,0.91804568406906
2022,150,156.28320802005,136,0.907677408731664
